TIME	CPU	WCPU	IO	MEM
20181103-144549	  0	  0	         0	11.57
20181103-144554	  0	  0	         9	11.57
20181103-144559	  0	  0	         0	11.56
20181103-144604	  0	  0	        10	11.57
20181103-144609	  1	  0	         1	11.58
20181103-144614	  0	  0	        14	11.57
20181103-144619	  0	  0	         0	11.57
20181103-144624	  0	  0	         8	11.57
20181103-144629	  0	  0	         0	11.57
20181103-144634	  0	  0	        12	11.57
20181103-144639	  0	  0	         1	11.57
20181103-144644	  0	  0	        10	11.57
20181103-144649	  0	  0	         0	11.56
20181103-144654	  0	  0	         8	11.56
20181103-144659	  0	  0	         0	11.57
20181103-144704	  0	  0	        12	11.56
20181103-144709	  1	  0	         1	11.57
20181103-144714	  0	  0	        17	11.57
20181103-144719	  0	  0	         0	11.57
20181103-144724	  0	  0	         8	11.57
20181103-144729	  0	  0	         0	11.57
20181103-144734	  0	  0	        12	11.56
20181103-144739	  0	  0	         0	11.56
20181103-144744	  0	  0	        10	11.56
20181103-144749	  0	  0	         0	11.57
20181103-144754	  0	  0	         8	11.57
20181103-144759	  0	  0	         0	11.57
20181103-144804	  0	  0	        13	11.56
20181103-144809	  1	  0	         1	11.57
20181103-144814	  0	  0	        15	11.57
20181103-144819	  0	  0	         0	11.57
20181103-144824	  0	  0	         8	11.57
20181103-144829	  0	  0	         0	11.56
20181103-144834	  0	  0	        10	11.57
20181103-144839	  0	  0	         1	11.57
20181103-144844	  0	  0	        12	11.57
20181103-144849	  0	  0	         0	11.57
20181103-144854	  0	  0	         8	11.57
20181103-144859	  0	  0	         0	11.57
20181103-144904	  0	  0	        10	11.57
20181103-144909	  1	  0	         0	11.57
20181103-144914	  0	  0	        14	11.57
20181103-144919	  0	  0	         0	11.57
20181103-144924	  0	  0	         8	11.57
20181103-144929	  0	  0	         0	11.57
20181103-144934	  0	  0	        10	11.56
20181103-144939	  0	  0	         0	15.75
20181103-144944	 14	  0	        10	15.68
20181103-144949	 10	  0	        10	18.37
20181103-144954	 10	  0	        10	19.82
20181103-144959	 12	  0	         0	23.96
20181103-145004	  9	  0	        14	24.91
20181103-145009	  8	  0	         9	28.65
20181103-145014	  9	  0	        14	28.65
20181103-145019	  8	  0	        12	33.26
20181103-145024	 10	  0	         0	34.13
20181103-145029	  9	  0	        10	34.13
20181103-145034	  8	  0	         2	36.16
20181103-145039	  9	  0	         9	39.87
20181103-145044	  9	  0	         5	39.87
20181103-145049	  9	  0	        11	39.87
20181103-145054	 13	  0	         0	41.10
20181103-145059	 11	  0	         8	44.51
20181103-145104	 13	  0	         2	44.51
20181103-145109	 12	  0	         9	44.51
20181103-145114	 11	  0	        13	44.51
20181103-145119	 10	  0	         8	44.25
