TIME	CPU	WCPU	IO	MEM
20181103-144209	  1	  0	        12	56.33
20181103-144214	  1	  0	         5	56.33
20181103-144219	  1	  0	        16	56.34
20181103-144224	  1	  0	         9	56.34
20181103-144229	  0	  0	         6	56.34
20181103-144234	  1	  0	         7	56.33
20181103-144239	  1	  0	         7	56.34
20181103-144244	  1	  0	         6	56.33
20181103-144249	  2	  0	         8	56.34
20181103-144254	  1	  0	        16	56.34
20181103-144259	  1	  0	         5	56.35
20181103-144304	  1	  0	         8	56.35
20181103-144309	  0	  0	        17	56.34
20181103-144314	  1	  0	         6	56.34
20181103-144319	  1	  0	        14	56.34
20181103-144324	  1	  0	         9	56.34
20181103-144329	  1	  0	         5	56.34
20181103-144334	  1	  0	         8	56.34
20181103-144339	  1	  0	         5	56.34
20181103-144344	  1	  0	         6	56.33
20181103-144349	  2	  0	         8	56.33
20181103-144354	  1	  0	        15	56.34
20181103-144359	  1	  0	         5	56.34
20181103-144404	  1	  0	         8	56.34
20181103-144409	  1	  0	        12	56.33
20181103-144414	  0	  0	         6	56.34
20181103-144419	  1	  0	        17	56.34
20181103-144424	  1	  0	        10	56.35
20181103-144429	  0	  0	         5	56.35
20181103-144434	  1	  0	         6	56.34
20181103-144439	  1	  0	         5	56.35
20181103-144444	  0	  0	         5	56.33
20181103-144449	  2	  0	        12	56.34
20181103-144454	  1	  0	         7	56.34
20181103-144459	  0	  0	         5	56.34
20181103-144504	  1	  0	         6	56.34
20181103-144509	  1	  0	         5	56.34
20181103-144514	  1	  0	        17	56.34
20181103-144519	  1	  0	        20	56.34
20181103-144524	  1	  0	        12	56.34
20181103-144529	  1	  0	         5	56.34
20181103-144534	  1	  0	         6	56.34
20181103-144539	  1	  0	         5	56.34
20181103-144544	  1	  0	        13	56.33
20181103-144549	  2	  0	        14	56.33
20181103-144554	  1	  0	         7	56.34
20181103-144559	  1	  0	         7	56.33
20181103-144604	  1	  0	         7	56.34
20181103-144609	  0	  0	         5	56.34
20181103-144614	  0	  0	        10	56.34
20181103-144619	  1	  0	        20	56.33
20181103-144624	  1	  0	         8	56.33
20181103-144629	  0	  0	         5	56.33
20181103-144634	  1	  0	         9	56.34
20181103-144639	  0	  0	         5	56.34
20181103-144644	  1	  0	         7	56.34
20181103-144649	  2	  0	        11	56.33
20181103-144654	  1	  0	         7	56.41
20181103-144659	  2	  0	        10	56.37
20181103-144704	  1	  0	         6	56.37
20181103-144709	  1	  0	         8	56.38
20181103-144714	  1	  0	        17	56.38
20181103-144719	  1	  0	        23	56.37
20181103-144724	  1	  0	         7	56.37
20181103-144729	  1	  0	         5	56.37
20181103-144734	  1	  0	         5	56.37
20181103-144739	  1	  0	        11	56.36
20181103-144744	  1	  0	        20	56.36
20181103-144749	  2	  0	         9	56.37
20181103-144754	  1	  0	         7	56.37
20181103-144759	  1	  0	         6	56.36
20181103-144804	  1	  0	         5	56.36
20181103-144809	  1	  0	         9	56.36
20181103-144814	  1	  0	        20	56.36
20181103-144819	  1	  0	        22	56.35
20181103-144824	  1	  0	         8	56.38
20181103-144829	  1	  0	         5	56.38
20181103-144834	  1	  0	         5	56.38
20181103-144839	  1	  0	         6	56.38
20181103-144844	  1	  0	         8	56.38
20181103-144849	  2	  0	        13	56.37
20181103-144854	  1	  0	         7	56.38
20181103-144859	  1	  0	         6	56.38
20181103-144904	  1	  0	         5	56.38
20181103-144909	  0	  0	         6	56.38
20181103-144914	  1	  0	        18	56.38
20181103-144919	  1	  0	        15	56.38
20181103-144924	  1	  0	        12	56.38
20181103-144929	  1	  0	         5	56.38
20181103-144934	  1	  0	         7	56.39
20181103-144939	  1	  0	         7	56.38
20181103-144944	  0	  0	         7	56.38
20181103-144949	  2	  0	        10	56.38
20181103-144954	  1	  0	         7	56.38
20181103-144959	  1	  0	         5	56.38
20181103-145004	  1	  0	         7	56.38
20181103-145009	  1	  0	         7	56.38
20181103-145014	  1	  0	        10	56.38
20181103-145019	  1	  0	        22	56.39
20181103-145024	  1	  0	         8	56.38
20181103-145029	  1	  0	         6	56.38
20181103-145034	  1	  0	         5	56.38
20181103-145039	  1	  0	         7	56.38
20181103-145044	  1	  0	         8	56.38
20181103-145049	  2	  0	        12	56.38
20181103-145054	  1	  0	         7	56.38
20181103-145059	  1	  0	         7	56.38
20181103-145104	  1	  0	         5	56.38
20181103-145109	  1	  0	         9	56.38
20181103-145114	  1	  0	        17	56.38
20181103-145119	  1	  0	        19	56.39
20181103-145124	  1	  0	         7	56.38
20181103-145129	  1	  0	         5	56.39
20181103-145134	  1	  0	         7	56.38
20181103-145139	  1	  0	         6	56.38
20181103-145144	  1	  0	         7	56.39
20181103-145149	  2	  0	         7	56.39
20181103-145154	  1	  0	         7	56.39
20181103-145159	  1	  0	         5	56.40
20181103-145204	  1	  0	         5	56.39
20181103-145209	  1	  0	        11	56.38
20181103-145214	  1	  0	        15	56.38
20181103-145219	  1	  0	        19	56.38
20181103-145224	  1	  0	         8	56.38
20181103-145229	  1	  0	         5	56.38
20181103-145234	  1	  0	         5	56.38
20181103-145239	  1	  0	        11	56.39
20181103-145244	  1	  0	        12	56.38
20181103-145249	  2	  0	         7	56.39
20181103-145254	  1	  0	         7	56.38
20181103-145259	  1	  0	         5	56.38
20181103-145304	  1	  0	         5	56.38
20181103-145309	  1	  0	        11	56.38
20181103-145314	  1	  0	        19	56.38
20181103-145319	  1	  0	        21	56.38
20181103-145324	  1	  0	         7	56.38
20181103-145329	  1	  0	         5	56.38
20181103-145334	  1	  0	         5	56.38
20181103-145339	  1	  0	        10	56.38
20181103-145344	  1	  0	        13	56.37
20181103-145349	  2	  0	         9	56.37
20181103-145354	  1	  0	         7	56.37
20181103-145359	  1	  0	         5	56.38
20181103-145404	  1	  0	         7	56.38
20181103-145409	  1	  0	         7	56.37
20181103-145414	  1	  0	        10	56.38
20181103-145419	  1	  0	        19	56.38
20181103-145424	  1	  0	        10	56.38
20181103-145429	  1	  0	         5	56.38
20181103-145434	  1	  0	         7	56.37
20181103-145439	  1	  0	         7	56.38
20181103-145444	  1	  0	        10	56.38
20181103-145449	  2	  0	         7	56.38
20181103-145454	  1	  0	         7	56.38
20181103-145459	  1	  0	         7	56.38
20181103-145504	  1	  0	         6	56.38
20181103-145509	  1	  0	         7	56.38
20181103-145514	  1	  0	        17	56.38
20181103-145519	  1	  0	        20	56.38
20181103-145524	  1	  0	         7	56.38
20181103-145529	  1	  0	         4	56.38
20181103-145534	  1	  0	        10	56.38
20181103-145539	  1	  0	         6	56.38
20181103-145544	  1	  0	        13	56.36
